UserID,Product,Quantity,Date,Category,Price,Palabra_Clave,ProductID
1003,Galletitas Vainilla Con Chips Girotondo Okebon X 214 G.,3,2023-11-13,Almacen,$5500,Galletitas,1
1352,Postre En Polvo Vainilla Light Exquisita X 80 G.,2,2023-11-15,Almacen,$1350,Postre,2
1278,Cerveza Rubia Lata Salta X 473 Cc.,2,2023-05-06,Bebidas,$1600,Cerveza,3
1545,"Helado Pote Dulce De Leche, Granizado Y Chocolate Noel X 1 Kg.",2,2023-07-24,Congelados,$7700,Helado,4
1170,Limpiador Líquido Procenex Limón X 900 Cc.,2,2023-11-08,Limpieza,$1185,Limpiador,5
1522,Caramelos Masticables Palitos Selva X 150 G.,2,2023-11-04,Almacen,$690,Caramelos,6
1842,Shampoo Colágeno Y Vitamina C Sedal X 340 Cc.,1,2023-11-24,Perfumeria,$5900,Shampoo,7
1414,Jabón De Tocador Antibacterial Original Rexona X 90 G.,1,2023-01-02,Perfumeria,$3209,Jabón,8
1386,Fideos Mostachol Arcor X 500 G.,2,2023-11-10,Almacen,$2465,Fideos,9
1064,Vino Blanco Chardonnay Reserva Viñalba X 750 Cc.,1,2023-01-19,Bebidas,$11475,Vino,10
1764,Hamburguesa De Carne Vacuna Clásico Paty X 4 Un. 320 Gr.,1,2023-07-04,Congelados,$9383,Hamburguesa,11
1794,Galletitas Salvado Hogareñas X 200 G.,3,2023-12-08,Almacen,$1400,Galletitas,12
1057,Carpeta Neon Iii Inkdrop,3,2023-04-16,Hogar,$20759,Carpeta,13
1447,Yogur Batido Descremado Frutilla La Serenísima Clásico 120G.,2,2023-06-15,Frescos,$2500,Yogur,14
1435,Acondicionador Carbón Activado Y Peonias Sedal X 190 Cc.,2,2023-07-01,Perfumeria,$6900,Acondicionador,15
1711,Zapallo Criollo (Kg),2,2023-02-22,Frutas-Y-Verduras,$689,Zapallo,16
1456,Bebida Láctea A Base De Leche Machiato Sense X 200 Cc.,3,2023-10-15,Frescos,$2150,Bebida,17
1993,Aromatizador Ambiente Telas Peonias Seven Scents X 250 Cc.,1,2023-07-14,Limpieza,$5249,Aromatizador,18
1040,Te En Saquitos Hierbas Digestivas Taragui X 10 Un.,1,2023-01-27,Almacen,$1400,Te,19
1243,Alimento En Polvo Base Cacao Chocolino X 800 G.,2,2023-03-05,Almacen,$2200,Alimento,20
1601,Cera Liquida Natural Suiza X 850 Cc.,3,2023-01-22,Limpieza,$2200,Cera,21
1785,Pan Rallado Morixe 500 G.,3,2023-05-24,Panaderia,$2691,Pan,22
1064,Antitranspirante Roll On Hinds Flowers X 60 G.,2,2023-10-19,Perfumeria,$2349,Antitranspirante,23
1084,Chocolate Con Leche Kinder X 4 Un. X 50 G.,3,2023-08-06,Almacen,$2850,Chocolate,24
1291,Adhesivo Transparente Suprabond X 25 Cc.,2,2023-10-02,Hogar,$1550,Adhesivo,25
